url,label,hostname,domain_age_days,domain_lifespan_days,has_ssl,cert_issuer,cert_validity_days
https://bafybeibdyr3vrviyiqdrraxyk5dxy5fb6subupjbgqwyvki3b7pn2h32lm.ipfs.w3s.link/,1,bafybeibdyr3vrviyiqdrraxyk5dxy5fb6subupjbgqwyvki3b7pn2h32lm.ipfs.w3s.link,-1,-1,0,None,-1
https://signaturerequestform.shirleyaraujo.com.br/success/success/?utm_source=NotifyVisitors&amp;utm_medium=NV_EMAIL&amp;utm_campaign=NV_csscq&amp;_nv_em_clid=56937_0_0&amp;nv_channel=email&amp;nv_uid=cc7ed534-5add-4dad-ab5e-d72410f955ed,1,signaturerequestform.shirleyaraujo.com.br,-1,-1,0,None,-1
wevideo.com,0,wevideo.com,7629,7901,1,"GoDaddy.com, Inc.",397
https://aeon.xagufxc.cn/v1/check,1,aeon.xagufxc.cn,372,730,0,None,-1
https://att-100279-104125.weeblysite.com/,1,att-100279-104125.weeblysite.com,4656,4748,0,None,-1
https://reluzca.shop/bin/,1,reluzca.shop,-1,-1,0,None,-1
https://port-firstnationalandtrust.web.app/,1,port-firstnationalandtrust.web.app,-1,-1,1,Google Trust Services,89
streetmetrics.io,0,streetmetrics.io,-1,-1,0,None,-1
myoas.net,0,myoas.net,-1,-1,0,None,-1
murf.ai,0,murf.ai,-1,-1,1,Amazon,393
https://hotm.art/XDWxxu,1,hotm.art,-1,-1,1,Amazon,394
https://qrco.de/bfDvjY,1,qrco.de,-1,-1,1,Amazon,394
https://gateway.ipfs.io/ipfs/bafybeigyowrqkcpaqpibi2xgmf3jeyjymm7mn5glttsqukcy4adpo3uoie/,1,gateway.ipfs.io,-1,-1,1,Google Trust Services,90
bytetcdn.com,0,bytetcdn.com,2121,2192,0,None,-1
https://l.ead.me/bfKPto,1,l.ead.me,3621,4018,1,Amazon,394
https://bit.ly/4fZKe3b,1,bit.ly,-1,-1,1,DigiCert Inc,364
https://new.express.adobe.com/webpage/9QHiR1wJGYA8F,1,new.express.adobe.com,14185,14425,1,Amazon,394
myquickcloud.com,0,myquickcloud.com,-1,-1,1,Google Trust Services,90
https://monlienorange1111.wixsite.com/my-site,1,monlienorange1111.wixsite.com,-1,-1,1,Let's Encrypt,89
https://allegrolokalnie.pl-ogloszenie-02103994.rest,1,allegrolokalnie.pl-ogloszenie-02103994.rest,-1,-1,1,Google Trust Services,90
https://promovoosairlines.com/checkout/689855b97bd4e/index,1,promovoosairlines.com,-1,-1,0,None,-1
https://new.express.adobe.com/webpage/4jF60rGg3aP1W,1,new.express.adobe.com,14185,14425,1,Amazon,394
https://docs.google.com/presentation/d/e/2PACX-1vREFNbd6ioSxlZW754aFy7rM8xXDhj1BvkP87kYbkPuXCjc-7SCiINAyPxjB7qNm3Z2zWg1UAfg8yYs/pub?start=false&amp;loop=false&amp;delayms=3000,1,docs.google.com,-1,-1,1,Google Trust Services,83
https://q-r.to/bfTz4E,1,q-r.to,-1,-1,1,Amazon,394
entrepreneur.com,0,entrepreneur.com,-1,-1,1,GlobalSign nv-sa,396
movies4u.mba,0,movies4u.mba,-1,-1,0,None,-1
https://shine-s-school4.teachable.com/p/yahoo,1,shine-s-school4.teachable.com,-1,-1,1,Google Trust Services,90
https://promo-lhv-pank2.com/LHV/,1,promo-lhv-pank2.com,-1,-1,0,None,-1
https://wallet-exodus-device.pages.dev,1,wallet-exodus-device.pages.dev,-1,-1,0,None,-1
joma-sport.com,0,joma-sport.com,-1,-1,1,Google Trust Services,90
ejoy.com,0,ejoy.com,-1,-1,1,DigiCert Inc,389
https://itaupytepresta.webcindario.com/,1,itaupytepresta.webcindario.com,8968,10592,1,Let's Encrypt,89
https://pavenises.web.app/,1,pavenises.web.app,-1,-1,1,Google Trust Services,89
https://bov-signin.firebaseapp.com/,1,bov-signin.firebaseapp.com,-1,-1,1,Google Trust Services,89
checkoutchamp.com,0,checkoutchamp.com,1850,3652,1,Let's Encrypt,89
cookie-script.com,0,cookie-script.com,4496,5844,1,Sectigo Limited,396
fd-api.com,0,fd-api.com,2969,3287,0,None,-1
pbstck.com,0,pbstck.com,2305,2557,0,None,-1
insidethemagic.net,0,insidethemagic.net,5739,5844,1,Let's Encrypt,89
safecharge.com,0,safecharge.com,10118,11687,1,DigiCert Inc,366
https://stepp19-ced6c.firebaseapp.com/,1,stepp19-ced6c.firebaseapp.com,-1,-1,1,Google Trust Services,89
afp.ai,0,afp.ai,-1,-1,1,Let's Encrypt,89
https://docs.google.com/presentation/d/e/2PACX-1vSAT3YX7YTWPhdiyVkRI3q_lZcW939Z-C03OvZSDGfKLxpT3hMnXB6J2SW7sH5NbA41ACl-1Ny4bRpe/pub?start=false&amp;loop=false&amp;delayms=3000,1,docs.google.com,-1,-1,1,Google Trust Services,83
openssh.com,0,openssh.com,9460,9497,1,Let's Encrypt,89
https://han.gl/0Y3tW,1,han.gl,5354,5479,1,Google Trust Services,90
unanet.biz,0,unanet.biz,-1,-1,1,Amazon,394
dds.nl,0,dds.nl,-1,-1,1,Sectigo Limited,365
https://docs.google.com/presentation/d/e/2PACX-1vQOito0j2BSGPZ1UGzOIsd3XYv_9f7WdVJismoHno2CHGK-xMvNXPut9F0TjtBXnAlOPV_3TE0hLeY6/pub?start=false&amp;loop=false&amp;delayms=3000,1,docs.google.com,-1,-1,1,Google Trust Services,83
9appsapk.cc,0,9appsapk.cc,3496,3653,0,None,-1
toythieves.com,0,toythieves.com,-1,-1,0,None,-1
https://mbssud07.wixsite.com/my-site,1,mbssud07.wixsite.com,-1,-1,1,Let's Encrypt,89
turnerapps.com,0,turnerapps.com,-1,-1,0,None,-1
